,Revenue,Revenue Growth,Gross Profit,SG&A Expense,Operating Expenses,Operating Income,Earnings before Tax,Net Income,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Cash and short-term investments,Total current assets,"Property, Plant & Equipment Net",Total assets,Total current liabilities,Total liabilities,Retained earnings (deficit),Total shareholders equity,Other Liabilities,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,Free Cash Flow,assetTurnover,currentRatio,quickRatio,cashRatio,Earnings Yield,Income Quality,SG&A to Revenue,Capex to Depreciation,Tangible Asset Value,Net Current Asset Value,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Diluted Growth,Operating Cash Flow growth,Asset Growth,SG&A Expenses Growth,Sector,Class,2018 PRICE VAR [%]
BIO,2160153000.0,0.0445,1187703000.0,806790000.0,1068453000.0,119250000.0,97805000.0,122249000.0,122249000.0,4.12,4.07,29763865.0,29655000.0,0.5498,0.056,0.0559,0.057,120819000.0,120819000.0,122249000.0,0.0453,0.0566,383824000.0,760538000.0,1976649000.0,493496000.0,4273012000.0,502696000.0,1342762000.0,1830439000.0,2930250000.0,367094000.0,0.0,104137000.0,-111246000.0,-175572000.0,341000.0,-72188000.0,-7109000.0,0.50553403547661,3.932,2.4376263188886003,0.7635310406289301,0.0171,0.8518,0.3735,0.0,3592830000.0,633887000.0,0.0433,0.8605,1.1402,3.7019,3.6818,3.625,0.0131,-0.518,0.1097,-0.0097,Healthcare,0,-3.8107849465743278
RVNC,262000.0,-0.1267,262000.0,37398000.0,120686000.0,-120424000.0,-120587000.0,-120587000.0,-120587000.0,-4.01,-4.01,30934688.0,30101125.0,1.0,-13.417900000000003,-10.65308,-15.304950000000002,-105989480.0,-120130000.0,-120587000.0,-10.638703999999997,-11.262636,283476000.0,283476000.0,285211000.0,9250000.0,295699000.0,20902000.0,26854000.0,-542167000.0,268845000.0,12225000.0,1468000.0,-94761760.0,-2525000.0,118792000.0,195944000.0,219394000.0,-97867000.0,0.00088603613809989,13.645,12.562303518700196,8.246912872918633,-0.1072,0.7906,4.444265999999904,-1.72,295699000.0,258357000.0,-0.1267,-0.3622,-0.3651,-0.3508,-0.261,-0.261,0.0707,-0.5936,0.447,0.2863,Healthcare,0,-46.17647502811554
QTRX,22874000.0,0.3008,9987000.0,19688000.0,35992000.0,-26005000.0,-27019000.0,-27019000.0,-31188000.0,-7.6234,-7.6692,20244360.0,3756954.0,0.4366,-1.119,-1.1396,-1.3630000000000002,-25586000.0,-26068000.0,-27019000.0,-1.1812,-1.1812,79682000.0,79682000.0,89252000.0,1874000.0,91779000.0,19714000.0,25913000.0,-144352000.0,65866000.0,11126000.0,482000.0,-22106000.0,-1132000.0,-1132000.0,73249000.0,50011000.0,-23238000.0,0.24922912648863,4.527,4.3259105204422985,4.0418991579588,-0.4246,0.7088,0.8607,-2.3485,91779000.0,63339000.0,0.289,-0.1917,-0.1978,-0.1293,0.3561,0.3561,0.7533,-0.246,1.4727,0.5793,Healthcare,0,-6.342710074215868
ZEAL,21980328.9262,-0.3273,21980328.9262,7653982.5863,62188487.5847,-40208158.6585,-45268945.5015,-44382134.7952,-44382134.7952,-1.5930000000000002,-1.5930000000000002,4851241.8575,4851241.8575,1.0,-0.2925,-1.8137,-0.3255,-39866010.9642,-39866010.9642,-44382134.7952,-2.0595,-2.0192,94923895.5176,107034666.2367,110809416.3173,2597871.6543,116298774.5888,11871976.7817,33314414.7049,-237871815.5434,82984359.8839,6683972.912000001,0.0,-44944534.0213,-1145759.4324,35690261.2061,54487262.1735,45232989.3583,-46090293.4537,0.18899880075191,1.505,9.160491647417699,7.995626782552298,-0.119,1.0127,0.3482,0.0,116298774.5888,77495001.6124,-0.3273,-1.378,-1.3865,-0.9934,-0.7395,-0.7395,0.29357131454005936,-2.853604,0.2028,0.0299,Healthcare,0,-13.29350740108941
BOLD,0.0,0.0,0.0,17275000.0,93177000.0,-93177000.0,-92484000.0,-90238000.0,-90238000.0,-3.4,-3.4,29855358.0,26578162.0,0.0,-3.5253891575130627,0.0,-3.9532841151377025,-89086000.0,-92484000.0,-90238000.0,0.0,0.0,39057000.0,133695000.0,137010000.0,24372000.0,178662000.0,17712000.0,22064000.0,-190649000.0,156598000.0,13859000.0,3398000.0,-84565000.0,-7551000.0,-33436000.0,120553000.0,2552000.0,-92116000.0,0.0,7.735,7.5482723577236,2.2051151761518,-0.1003,0.9371,0.0,-2.2222,167031000.0,114946000.0,0.0,-0.55,-0.5518,-0.5123,0.3918,0.3918,1.3527840000000002,-0.7284,0.2577,0.532,Healthcare,0,-37.12769156366928
VBLT,13864000.0,0.0,13524000.0,6409000.0,24179000.0,-10655000.0,-10138000.0,-10138000.0,-10138000.0,0.37,0.37,26902285.0,27398169.0,0.9755,-0.718,-0.7293,-0.731,-9955000.0,-10111000.0,-10138000.0,-0.7312,-0.7312,6694000.0,54729000.0,58458000.0,7128000.0,65689000.0,7569000.0,9789000.0,-168188000.0,55900000.0,1046000.0,156000.0,-3821000.0,-6482000.0,-20840000.0,19510000.0,-5151000.0,-10303000.0,0.21105512338443,7.723,7.4949134628088,0.88439688201876,0.0514,0.3769,0.4623,-6.239800000000001,65689000.0,48669000.0,0.0,0.3677,0.3453,0.3665,-0.4219,-0.4219,0.0972,0.7151,0.3895,0.6742,Healthcare,0,-86.52777702352147
BPMC,21426000.0,-0.2285,21426000.0,27986000.0,172673000.0,-149029550.0,-148119000.0,-148119000.0,-148119000.0,-3.92,-3.92,39203200.0,37793000.0,1.0,-6.829,-6.9027,-6.9129999999999985,-105989480.0,-147898000.0,-148119000.0,-6.9129999999999985,-6.9129999999999985,404859000.0,677911000.0,685505000.0,24363000.0,715737000.0,42890000.0,91767000.0,-355589000.0,623970000.0,37628000.0,1578000.0,-94761760.0,-15512000.0,-72347000.0,543948000.0,351736000.0,-135377000.0,0.029935576894865007,14.379859999999997,12.562303518700196,8.246912872918633,-0.049,0.8092,1.3062,-6.239800000000001,715737000.0,593738000.0,-0.2285,-1.0534,-1.084,-1.0432,-0.4848,-0.4848,0.3747,-2.853604,1.5309,0.4562,Healthcare,0,-32.62092437440349
NBRV,5319000.0,-0.1794,5319000.0,29472000.0,79087000.0,-73768000.0,-73001000.0,-74356000.0,-74356000.0,-0.249,-0.249,36691490.0,29830669.0,1.0,-13.417900000000003,-10.65308,-13.979,-72526000.0,-72958000.0,-74356000.0,-10.638703999999997,-11.262636,86769000.0,86879000.0,93839000.0,1327000.0,95763000.0,13260000.0,13695000.0,-279198000.0,82068000.0,8124000.0,432000.0,-69348000.0,-1171000.0,49749000.0,72219000.0,53991000.0,-70519000.0,0.055543372701356,7.077000000000001,6.991402714932098,6.5436651583710015,-0.0392,0.9326,4.444265999999904,-2.7106,95591000.0,80144000.0,-0.1794,-0.3149,-0.3401,-0.3546,0.0273,0.0273,0.3889,-0.435,0.0271,1.12771,Healthcare,0,-77.04402503934844
TVTY,556942000.0,0.1117,161337000.0,34361000.0,40941000.0,120396000.0,107268000.0,63715000.0,63715000.0,1.62,1.5,39616901.0,39357000.0,0.2897,0.227,0.2206,0.114,126238000.0,122881000.0,63715000.0,0.1926,0.1144,28440000.0,28440000.0,223295000.0,10658000.0,636163000.0,358633000.0,364210000.0,-49148000.0,271953000.0,185870000.0,3357000.0,105276000.0,-5910000.0,-5910000.0,-74312000.0,26838000.0,99366000.0,0.87547059480039,0.623,0.23297632956253,0.079301123990263,0.0442,1.6523,0.0617,-1.7605,272434000.0,-140915000.0,0.1213,2.3681,0.2623,1.4935,1.4642,1.4425,0.1175,1.3086,0.1677,-0.1296,Healthcare,0,-32.305597727127484
TECH,563003000.0,0.1282,374541000.0,200443000.0,253957000.0,120584000.0,111961000.0,76086000.0,76086000.0,2.04,2.03,37333499.0,37313000.0,0.6653,0.319,0.2119,0.135,179358000.0,119322000.0,76086000.0,0.1989,0.1351,91612000.0,157714000.0,348025000.0,135124000.0,1558219000.0,135522000.0,608592000.0,799027000.0,949627000.0,50266000.0,60036000.0,143721000.0,-15179000.0,-305954000.0,189113000.0,27375000.0,128542000.0,0.3613118566774,2.568,2.0258260651407,0.67599356562034,0.0174,1.8889,0.35600000000000004,-0.2528,527151000.0,-260567000.0,0.1125,-0.2004,-0.1993,-0.2717,-0.274,-0.275,0.0047,-0.003,0.3795,0.4228,Healthcare,1,10.968751155582844
ATRA,0.0,0.0,0.0,40326000.0,121532000.0,-121532000.0,-119505000.0,-119491000.0,-119491000.0,-4.0,-4.0,30595866.0,29863000.0,0.0,-3.5253891575130627,0.0,-3.9532841151377025,-105989480.0,-119505000.0,-119491000.0,0.0,0.0,79417000.0,166290000.0,172190000.0,44129000.0,217779000.0,27646000.0,39915000.0,-296650000.0,177864000.0,12935000.0,956000.0,-87502000.0,-20232000.0,99909000.0,20048000.0,32455000.0,-107734000.0,0.0,6.228,6.0149750415973,2.8726398032265004,-0.221,0.7323,0.0,-6.239800000000001,217779000.0,132275000.0,0.0,-0.512,-0.4959,-0.5116,-0.4545,-0.4545,0.0394,-0.4578,-0.1748,0.6308,Healthcare,1,91.93370688562322
GLYC,0.0,-0.41299,0.0,9832188.0,33932280.0,-33932280.0,-33281068.0,-33281068.0,-33281068.0,-1.13,-1.13,34337799.0,29395756.0,0.0,-0.627,0.0,-0.636,-33017527.0,-33281068.0,-33281068.0,0.0,0.0,123977058.0,123977058.0,127219622.0,1106899.0,128583205.0,8174777.0,8881780.0,-152277106.0,119701425.0,5527686.0,263541.0,-29768361.0,-294107.0,-294107.0,113945565.0,83883097.0,-30062468.0,0.0,14.379859999999997,12.562303518700196,8.246912872918633,-0.0662,0.8945,0.0,-1.116,128583205.0,118337842.0,-0.621428,-0.0463,-0.0633,-0.0463,0.2467,0.2467,0.3829,-0.0012,1.8851559999999996,0.1366,Healthcare,0,-44.555033317740275
QURE,13107000.0,-0.41299,13107000.0,24635000.0,99880000.0,-86773000.0,-79459000.0,-79260000.0,-79260000.0,-2.94,-2.94,30800080.0,26984183.0,1.0,-5.317,-5.892,-6.0470000000000015,-69684000.0,-77227000.0,-79260000.0,-6.0623,-6.0472,159371000.0,159371000.0,162783000.0,34281000.0,209644000.0,19230000.0,120285000.0,-475318000.0,89359000.0,15272000.0,7543000.0,-64270000.0,-4461000.0,-5583000.0,90074000.0,27527000.0,-68731000.0,0.062520272461888,8.465,8.370098803952201,8.246912872918633,-0.1458,0.8109,1.8795,-0.5914,199544000.0,42498000.0,-0.4778,-0.1023,-0.182,-0.0802,-0.0034,-0.0034,0.0778,0.1097,0.1019,-0.0525,Healthcare,1,42.956348774594716
CLSD,345000.0,-0.3365,345000.0,9700000.0,58753000.0,-58408000.0,-58975000.0,-58975000.0,-58975000.0,-2.33,-2.33,25342445.0,25311614.0,1.0,-13.417900000000003,-10.65308,-15.304950000000002,-58793000.0,-58975000.0,-58975000.0,-10.638703999999997,-11.262636,9584000.0,38000000.0,39201000.0,885000.0,40493000.0,13519000.0,19078000.0,-124220000.0,21415000.0,4935000.0,182000.0,-51083000.0,-306000.0,20121000.0,5362000.0,-25600000.0,-51389000.0,0.0085199911095745,2.9,2.8108587913307,0.7089281751608799,-0.3241,0.8662,4.444265999999904,-1.6813,40493000.0,20123000.0,-0.3365,-1.2786,-1.318,-1.2786,-0.1827,-0.1827,0.9306,-1.2495,-0.30742,0.5488,Healthcare,0,-85.11821913857212
ICUI,1292613000.0,1.6639459999999837,426095000.0,303953000.0,433173000.0,-7078000.0,51283000.0,68644000.0,68644000.0,3.5,3.29,20130535.0,19614000.0,0.3296,0.093,0.0413,0.053,119899000.0,53330000.0,68644000.0,0.0397,0.0531,290072000.0,300133000.0,864662000.0,398684000.0,1496951000.0,210292000.0,298697000.0,585624000.0,1198254000.0,132064000.0,66569000.0,154423000.0,-79682000.0,-266871000.0,-44349000.0,-155010000.0,74741000.0,0.8634972019792199,4.112,2.4329789055218,1.3793772468758,0.0162,2.2496,0.2351,-1.197,1340841000.0,565965000.0,1.1157,-0.3747,-1.0853,0.0881,-0.1026,-0.1011,0.2089,0.7169,1.1243,1.12771,Healthcare,1,6.260989540562887
WVE,3893000.0,1.6639459999999837,3893000.0,26975000.0,106284000.0,-102391000.0,-101138000.0,-101980000.0,-101980000.0,-3.85,-3.85,27790022.0,26513382.0,1.0,-13.417900000000003,-10.65308,-15.304950000000002,-98983000.0,-101138000.0,-101980000.0,-10.638703999999997,-11.262636,142503000.0,142503000.0,150488000.0,27334000.0,181843000.0,18191000.0,34359000.0,-192716000.0,139610000.0,10577000.0,2155000.0,-83671000.0,-18887000.0,-18887000.0,94374000.0,-7781000.0,-102558000.0,0.02140857772914,8.273,7.8886812159859,7.833708976966599,-0.1106,0.8205,4.444265999999904,-6.239800000000001,181843000.0,116129000.0,2.565,-0.8329,-0.8376,-0.8322,-0.5779,-0.5779,0.1628,-1.6209,0.1033,0.6866,Healthcare,1,20.804602980440574
SYBX,2444000.0,1.6639459999999837,2444000.0,12927000.0,43268000.0,-40824000.0,-40377000.0,-40377000.0,-40377000.0,-6.0,-6.0,16285271.0,6724641.0,1.0,-13.417900000000003,-10.65308,-15.304950000000002,-38010000.0,-40320000.0,-40377000.0,-10.638703999999997,-11.262636,59537000.0,88122000.0,88589000.0,9783000.0,99699000.0,9027000.0,14661000.0,-71654000.0,85038000.0,5923000.0,2310000.0,-31055000.0,-2567000.0,9278000.0,66678000.0,44901000.0,-33622000.0,0.024513786497357,9.814,9.7620471917581,6.5954359144788,-0.5556,0.7691,4.444265999999904,-1.1113,99699000.0,73928000.0,3.293802000000004,-0.9249,-0.9473,-0.9269,0.0,0.0,1.2594,-0.5217,1.8851559999999996,1.0205,Healthcare,0,-35.09259161962242
XLRN,13481000.0,-0.41299,13481000.0,33738000.0,123464000.0,-109983000.0,-108422000.0,-108454000.0,-108454000.0,-2.68,-2.68,45235024.0,40420000.0,1.0,-7.832999999999998,-8.0426,-8.045,-105597000.0,-108422000.0,-108454000.0,-8.0426,-8.045,101282000.0,278359000.0,285243000.0,6966000.0,389177000.0,16745000.0,23960000.0,-473024000.0,365217000.0,15659000.0,2825000.0,-76544000.0,-4396000.0,-64366000.0,220296000.0,79386000.0,-80940000.0,0.034639765453765,14.379859999999997,12.562303518700196,6.0484920871902,-0.0628,0.7058,2.5026,-1.5561,389177000.0,261283000.0,-0.5146,-0.9025,-0.6637,-0.9022,-0.7632,-0.7632,0.0799,-0.7184,0.5715,0.3337,Healthcare,1,2.086262055395736
LMAT,100867000.0,0.1314,70697000.0,42958000.0,49594000.0,21103000.0,21106000.0,17177000.0,17177000.0,0.91,0.86,19264940.0,18961000.0,0.7009,0.25,0.2095,0.17,25182000.0,21127000.0,17177000.0,0.2092,0.1703,19096000.0,41660000.0,80311000.0,12378000.0,126323000.0,13189000.0,16553000.0,28333000.0,109770000.0,11646000.0,4055000.0,22868000.0,-6417000.0,-28958000.0,80000.0,-5192000.0,16451000.0,0.79848483649058,6.089,4.2960042459625,1.4478732276896995,0.0292,1.3313,0.4259,-1.5825,94245000.0,63758000.0,0.1233,0.2996,0.2918,0.622,0.5965,0.5636,0.0412,0.3535,0.2394,0.0618,Healthcare,0,-23.397703395437397
BLRX,0.0,0.0,0.0,5730000.0,25240000.0,-25240000.0,-24352000.0,-24352000.0,-24352000.0,-4.05,-4.05,3802226.0,5998051.0,0.0,-3.5253891575130627,0.0,-3.9532841151377025,-23850000.0,-24331000.0,-24352000.0,0.0,0.0,49483000.0,49483000.0,50376000.0,2505000.0,60965000.0,6722000.0,8084000.0,-199558000.0,52881000.0,1113000.0,481000.0,-20547000.0,-338000.0,-15927000.0,38680000.0,2206000.0,-20885000.0,0.0,7.494,7.4485272240405,7.3613507884558,-0.2455,0.8438,0.0,-0.7027,53942000.0,42292000.0,0.0,-0.5381,-0.5285,-0.5373,0.0357,0.0357,0.6025,-0.4158,0.5657,0.0738,Healthcare,0,-60.00000057798444
CRMD,329327.0,0.4695,214363.0,8652351.0,33138473.0,-32924110.0,-33009914.0,-33009914.0,-33009914.0,-3.0,-3.0,13403959.0,11028227.0,0.6509,-13.417900000000003,-10.65308,-15.304950000000002,-32967409.0,-33004295.0,-33009914.0,-10.638703999999997,-11.262636,10551282.0,12155480.0,13267651.0,186282.0,13453933.0,6260582.0,6260582.0,-152174866.0,7193351.0,4452271.0,36886.0,-28587180.0,-151988.0,10357838.0,20524997.0,2315239.0,-28739168.0,0.024478121007441,2.119,1.951835787791,1.6853516174694,-0.8465,0.866,4.444265999999904,-4.1205,13453933.0,7007069.0,2.5036,-0.3393,-0.3297,-0.3395,0.0769,0.0769,0.4523,-0.2839,-0.30742,-0.026,Healthcare,1,143.39621045828008
CMD,770157000.0,0.1586,367160000.0,238383000.0,256750000.0,110410000.0,106233000.0,71378000.0,71378000.0,1.71,1.71,41721034.0,41721034.0,0.4767,0.187,0.1435,0.093,143988000.0,110536000.0,71378000.0,0.1379,0.0927,36584000.0,36584000.0,257371000.0,88338000.0,786373000.0,106779000.0,262441000.0,407590000.0,523932000.0,51842000.0,33452000.0,108193000.0,-27018000.0,-97062000.0,-2751000.0,8217000.0,81175000.0,0.97937874265775,2.41,1.3789228219032,0.34261418443701,0.023,1.5158,0.3095,-0.8077,350416000.0,-5070000.0,0.1875,0.1366,0.1353,0.1906,0.1875,0.1875,0.0045,0.3479,0.1322,0.213,Healthcare,0,-26.41894472776241
ADUS,425994000.0,0.0625,115875000.0,76902000.0,89507000.0,26368000.0,22326000.0,13681000.0,13681000.0,1.19,1.17,11631659.0,11470000.0,0.272,0.079,0.0629,0.032,33461000.0,26798000.0,13681000.0,0.0524,0.0321,53754000.0,53754000.0,155666000.0,7489000.0,271691000.0,55076000.0,95382000.0,80334000.0,176309000.0,44596000.0,6663000.0,52771000.0,-3616000.0,-24268000.0,17238000.0,45741000.0,49155000.0,1.5679356327593,2.826,2.6742501270971,0.97599680441572,0.0332,3.8572,0.1805,-0.5427,164756000.0,60284000.0,0.0897,0.4415,0.7038,0.1251,0.1121,0.0935,0.0241,4.897032000000001,0.182,0.0008,Healthcare,1,89.34449133217747
CRHM,95006145.0,0.2125,27873148.0,7053863.0,7053863.0,20819285.0,26334135.0,19175070.0,19175070.0,0.16399999999999998,0.161,72745939.0,73712670.0,0.2934,0.594,0.3436,0.202,56478941.0,32644541.0,26271287.0,0.2772,0.2018,12486884.0,12486884.0,29661466.0,364366.0,203955505.0,8494191.0,72657460.0,11078608.0,73846197.0,1407710.0,23834400.0,35750775.0,-125285.0,-33502134.0,735935.0,2979880.0,35625490.0,0.46581799790106,3.492,3.2932148570711,1.4700498258163,0.0586,1.8644,0.0742,-0.0053,33828090.0,-42995994.0,-0.0261,0.2671,-0.159,0.1928,0.1156,0.1338,0.0115,0.0859,0.2471,0.8243,Healthcare,1,8.928571580624094
HIIQ,250476000.0,0.3575,250476000.0,64446000.0,218917000.0,31559000.0,34703000.0,17885000.0,17885000.0,1.63,1.5,16542653.0,16542653.0,1.0,0.155,0.1385,0.071,38728000.0,34684000.0,26491000.0,0.1385,0.0714,55827000.0,55827000.0,97603000.0,5408000.0,165085000.0,42954000.0,58084000.0,19305000.0,84205000.0,0.0,4044000.0,45227000.0,-3465000.0,-3465000.0,-11305000.0,30457000.0,41762000.0,1.5172547475543,2.272,1.3515388555199,1.2996926945104,0.0638,2.5288,0.2573,-0.8568,118067000.0,39519000.0,0.3575,5.233846999999995,0.742,2.963,1.7627,1.6316,0.5094,0.9967,0.317,0.2507,Healthcare,1,4.618396635660867
SIEN,36542000.0,0.7624,22371000.0,65448000.0,85261000.0,-62890000.0,-64045000.0,-64028000.0,-64028000.0,-3.34,-3.34,19395285.0,19159057.0,0.6122,-1.636,-1.7189,-1.7519999999999998,-59779000.0,-62813000.0,-64028000.0,-1.7526,-1.7522,26588000.0,26588000.0,55565000.0,4763000.0,92213000.0,50347000.0,64590000.0,-279470000.0,27623000.0,18897000.0,3034000.0,-45878000.0,-1864000.0,-20014000.0,25611000.0,-40281000.0,-47742000.0,0.39627818203507,1.104,0.6585695274792901,0.52809502055733,-0.2341,0.7165,1.791,-0.6144,60903000.0,-9025000.0,0.6148,-0.5701,-0.5709,-0.5941,-0.5182,-0.5182,0.0508,-0.3325,-0.1931,0.5376,Healthcare,0,-10.932027817616309
ITGR,1136080000.0,0.0563,354010000.0,143073000.0,228361000.0,125649000.0,28851000.0,66679000.0,66679000.0,2.12,2.08,31669830.0,31402000.0,0.3116,0.172,0.0817,0.059,195619000.0,92823000.0,66679000.0,0.0254,0.0587,37341000.0,37341000.0,531909000.0,235180000.0,2848345000.0,209003000.0,1954964000.0,176068000.0,893381000.0,113983000.0,102796000.0,149357000.0,-46829000.0,-47936000.0,-111669000.0,-8020000.0,102528000.0,0.39885617788575,2.545,1.1109218527964,0.17866250723674,0.0468,2.2399,0.1259,-0.4556,1145602000.0,-1423055000.0,0.0484,0.1965,0.3522,5.512875999999997,5.745376000000013,5.6667,0.035,0.4153,0.0056,0.0486,Healthcare,1,67.97356734175602
MNLO,4582000.0,1.6639459999999837,4582000.0,5168000.0,34175000.0,-29593000.0,-29076000.0,-29076000.0,-29076000.0,-5.69,-5.69,22978000.0,5108121.0,1.0,-6.457000000000002,-6.4585,-6.346,-29585000.0,-29593000.0,-29076000.0,-6.3457,-6.3457,10206000.0,59501000.0,63861000.0,28000.0,66867000.0,7817000.0,14574000.0,-59191000.0,-57034000.0,5355000.0,8000.0,-28222000.0,-27000.0,-15090000.0,49491000.0,6179000.0,-28249000.0,0.06852408512420201,8.17,7.712293718818,1.305615965204,-0.1982,0.9706,1.1279,-3.375,66867000.0,49287000.0,3.293802000000004,-1.0648,-1.0648,-1.0668,-1.0177,-1.0177,0.0243,-2.853604,0.5901,0.3778,Healthcare,0,-85.64959938369584
RGEN,141236000.0,0.35100000000000003,74186000.0,51509000.0,60181000.0,14005000.0,7248000.0,28353000.0,28353000.0,0.74,0.72,43565306.0,38234000.0,0.5253,0.171,0.0969,0.201,24196000.0,13689000.0,28353000.0,0.0513,0.2007,173759000.0,173759000.0,242782000.0,22417000.0,743519000.0,25211000.0,151971000.0,-31508000.0,591548000.0,17929000.0,10507000.0,17451000.0,-5454000.0,-98696000.0,129945000.0,51076000.0,11997000.0,0.18995614099976,9.63,7.9924239419301,6.8921899170997,0.02,0.6155,0.3647,-0.5191,271433000.0,90811000.0,0.2919,-0.1146,-0.2712,1.4273,1.1143,1.1176,0.1481,1.3203,1.5735,0.6695,Healthcare,1,42.30976719951309
EBS,560900000.0,0.1475,373200000.0,142900000.0,248900000.0,124300000.0,118600000.0,82600000.0,82600000.0,1.98,1.71,41395398.0,41800000.0,0.6654,0.299,0.2232,0.147,167800000.0,125200000.0,82600000.0,0.2114,0.1473,179300000.0,179300000.0,485400000.0,407200000.0,1070200000.0,100100000.0,157900000.0,337100000.0,912300000.0,58300000.0,42600000.0,208100000.0,-54800000.0,-249900000.0,-51400000.0,-93200000.0,153300000.0,0.52410764343113,4.849,3.2267732267732,1.7912087912088002,0.0413,2.5194,0.2548,-1.2864,901500000.0,327500000.0,0.0295,0.3028,0.1782,0.5946,0.5349,0.5133,0.0203,2.8114,0.1032,-0.0014,Healthcare,1,23.57723008293885
SAGE,0.0,0.0,0.0,62878000.0,273155000.0,-149029550.0,-213033432.889968,-242212000.0,-244339958.88755,-7.09,-7.09,37537655.0,38113678.0,0.0,-3.5253891575130627,0.0,-3.9532841151377025,-105989480.0,-157460500.0,-244359460.00000003,0.0,0.0,307084000.0,519697000.0,525075000.0,4013000.0,529937000.0,51951000.0,54462000.0,-590447000.0,475475000.0,42601000.0,531000.0,-94761760.0,-1360000.0,15462000.0,341818000.0,138003000.0,-220637000.0,0.0,10.107,10.003599545726,5.9110315489596,-0.0425,0.8118,0.0,-2.5612,529937000.0,470613000.0,0.0,-0.6990000000000001,-0.7055,-0.6990000000000001,-0.4926,-0.4926,0.138,-0.8477,0.31,0.5956,Healthcare,0,-42.52370166165701
APVO,14658000.0,0.468,9648000.0,34576000.0,63597000.0,-53949000.0,-16328000.0,6973000.0,6973000.0,0.33,0.33,21428468.0,21335157.0,0.6582,-0.901,-1.1139,0.476,-13201000.0,-16328000.0,6973000.0,-1.1139,0.4757,7495000.0,81183000.0,95084000.0,5843000.0,117007000.0,18510000.0,34972000.0,-73719000.0,82035000.0,7827000.0,3127000.0,-41573000.0,-1402000.0,29458000.0,19534000.0,7419000.0,-42975000.0,0.12527455622313,5.1370000000000005,4.5015667206915,0.40491626148028,0.0695,-5.9620000000000015,2.3588,-0.4484,110927000.0,60112000.0,3.293802000000004,0.8764,0.6112,1.062,1.0595,1.0595,0.0542,-0.1278,0.2738,-0.0438,Healthcare,0,-73.26315829628392
RARX,0.0,-0.41299,0.0,9778000.0,55029000.0,-55029000.0,-54458000.0,-54439000.0,-54439000.0,-2.41,-2.41,22626684.0,22591000.0,0.0,-5.602,0.0,-5.857,-52934000.0,-54458000.0,-54439000.0,0.0,0.0,71715000.0,71715000.0,72877000.0,5606000.0,80197000.0,8614000.0,11013000.0,-123214000.0,69184000.0,4266000.0,1524000.0,-46779000.0,-1412000.0,-1412000.0,760000.0,-47431000.0,-48191000.0,0.0,8.46,8.3254005107964,8.246912872918633,-0.2729,0.8593,0.0,-0.9265,79817000.0,61864000.0,-0.621428,-0.8855,-0.9636,-0.8861,0.6547,0.6547,1.3527840000000002,-1.1416,-0.30742,0.9463,Healthcare,1,106.11552571000135
CALA,25955000.0,0.0,25955000.0,12530000.0,55641000.0,-29686000.0,-27826000.0,-27826000.0,-27826000.0,-0.84,-0.84,35476681.0,32951000.0,1.0,-1.058,-1.0721,-1.072,-27461000.0,-27826000.0,-27826000.0,-1.0721,-1.0721,48915000.0,164233000.0,167667000.0,1759000.0,192455000.0,39027000.0,42148000.0,-150333000.0,150307000.0,37955000.0,365000.0,13751000.0,-1229000.0,-98431000.0,122948000.0,38268000.0,12522000.0,0.1348626951755,4.296,4.237450995464701,1.2533630563456,-0.0944,-0.4942,0.4828,-3.3671,192455000.0,125519000.0,0.0,0.2678,0.2256,0.2678,0.5692,0.5692,0.691,1.4432,1.8851559999999996,0.1836,Healthcare,0,-54.94381572182541
ARDX,42000000.0,0.0,33600000.0,23231000.0,98715000.0,-65115000.0,-63160000.0,-64339000.0,-64339000.0,-1.36,-1.36,47534979.0,47435331.0,0.8,-1.4409999999999998,-1.5038,-1.5319999999999998,-60521000.0,-63160000.0,-64339000.0,-1.5038,-1.5319,75383000.0,133976000.0,149712000.0,8032000.0,157903000.0,17871000.0,18591000.0,-278214000.0,139312000.0,13938000.0,2639000.0,-65190000.0,-2355000.0,65290000.0,685000.0,785000.0,-67545000.0,0.26598608006181,8.377,8.1009456661631,4.2181746964356,-0.1943,1.0132,0.5531,-0.8924,157903000.0,131121000.0,0.0,0.438,0.4232,0.4275,0.5143,0.5143,0.1824,0.2955,-0.2591,0.24,Healthcare,0,-74.42857197352818
